titles  ,  years  ,  genres  ,  certifcation  ,  votes  ,  dataValues ,  IMDBRatings  ,  metaScores  ,  All0to17  ,  All18to29  ,  All30to44  ,  All45to  ,  MaleAll  ,  Male0to17  ,  Male18to29  ,  Male30to44  ,  Male45to  ,  FemaleAll  ,  Female0to17  ,  Female18to29  ,  Female30to44  ,  Female45to , DomesticOpening  ,  Budget  ,  Domestic  ,  International  ,  Worldwide
The Watcher  ,  I 2000  ,  Crime; Drama; Mystery  ,  R  ,  26057  ,  /title/tt0204626/ ,  5.3  ,  22  ,  4.0  ,  5.4  ,  5.2  ,  5.4  ,  5.2  ,  -  ,  5.3  ,  5.2  ,  5.4  ,  5.6  ,  -  ,  5.7  ,  5.5  ,  5.9  , 9062295  ,  30000000  ,  28946615  ,  18321214  ,  47267829
Jojo Rabbit  ,  2019  ,  Comedy; Drama; War  ,  PG-13  ,  317736  ,  /title/tt2584384/ ,  7.9  ,  58  ,  7.9  ,  8.0  ,  7.8  ,  7.7  ,  7.8  ,  7.9  ,  7.9  ,  7.8  ,  7.7  ,  8.1  ,  8.0  ,  8.2  ,  8.1  ,  8.1  , 349555  ,  14000000  ,  33370906  ,  56964119  ,  90335025
Marriage Story  ,  2019  ,  Comedy; Drama; Romance  ,  R  ,  258090  ,  /title/tt7653254/ ,  7.9  ,  94  ,  8.3  ,  8.1  ,  7.8  ,  7.5  ,  7.9  ,  8.4  ,  8.2  ,  7.8  ,  7.6  ,  7.8  ,  7.9  ,  7.9  ,  7.7  ,  7.5  , None  ,  None  ,  None  ,  333686  ,  333686
Ghost in the Shell  ,  2017  ,  Action; Crime; Drama  ,  PG-13  ,  199438  ,  /title/tt1219827/ ,  6.3  ,  52  ,  5.7  ,  6.3  ,  6.3  ,  6.4  ,  6.4  ,  5.7  ,  6.3  ,  6.4  ,  6.4  ,  6.3  ,  5.7  ,  6.3  ,  6.3  ,  6.3  , 18676033  ,  110000000  ,  40563557  ,  129283388  ,  169846945
Rough Night  ,  2017  ,  Comedy; Crime; Thriller  ,  R  ,  48096  ,  /title/tt4799050/ ,  5.2  ,  51  ,  4.9  ,  5.5  ,  5.1  ,  5.0  ,  5.1  ,  4.2  ,  5.3  ,  5.1  ,  4.9  ,  5.4  ,  5.5  ,  5.7  ,  5.3  ,  5.1  , 8004283  ,  20000000  ,  22105643  ,  25241640  ,  47347283
Captain America: Civil War  ,  2016  ,  Action; Adventure; Sci-Fi  ,  PG-13  ,  682957  ,  /title/tt3498820/ ,  7.8  ,  75  ,  7.9  ,  7.9  ,  7.7  ,  7.6  ,  7.8  ,  7.7  ,  7.9  ,  7.7  ,  7.6  ,  7.8  ,  8.2  ,  7.9  ,  7.7  ,  7.8  , 179139142  ,  250000000  ,  408084349  ,  745253147  ,  1153337496
Sing  ,  2016  ,  Animation; Comedy; Family  ,  PG  ,  136974  ,  /title/tt3470600/ ,  7.1  ,  59  ,  6.7  ,  7.1  ,  7.1  ,  7.2  ,  7.1  ,  6.5  ,  7.1  ,  7.0  ,  7.2  ,  7.3  ,  6.9  ,  7.3  ,  7.3  ,  7.5  , 35258145  ,  75000000  ,  270448425  ,  363759959  ,  634208384
American Express Unstaged: Ellie Goulding  ,  2015  ,  Music  ,  None  ,  18  ,  /title/tt5176560/ ,  8.3  ,  None  ,  -  ,  10.0  ,  6.8  ,  -  ,  7.5  ,  -  ,  10.0  ,  6.7  ,  -  ,  9.2  ,  -  ,  10.0  ,  7.0  ,  -  , None  ,  None  ,  None  ,  None  ,  None
Captain America: The Winter Soldier  ,  2014  ,  Action; Adventure; Sci-Fi  ,  PG-13  ,  753614  ,  /title/tt1843866/ ,  7.7  ,  70  ,  7.9  ,  7.9  ,  7.6  ,  7.7  ,  7.7  ,  7.8  ,  7.9  ,  7.6  ,  7.6  ,  7.8  ,  8.3  ,  8.0  ,  7.7  ,  7.8  , 95023721  ,  170000000  ,  259766572  ,  454654931  ,  714421503
Chef  ,  2014  ,  Adventure; Comedy; Drama  ,  R  ,  200143  ,  /title/tt2883512/ ,  7.3  ,  68  ,  7.6  ,  7.4  ,  7.2  ,  7.2  ,  7.3  ,  7.7  ,  7.4  ,  7.2  ,  7.2  ,  7.3  ,  7.2  ,  7.4  ,  7.2  ,  7.4  , 204961  ,  None  ,  31424003  ,  17004045  ,  48428048
